country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,0,0,0,0.00
Albania,89,132,54,4.90
Algeria,25,0,14,0.70
Andorra,245,138,312,12.40
Angola,217,57,45,5.90
Antigua & Barbuda,102,128,45,4.90
Argentina,193,25,221,8.30
Armenia,21,179,11,3.80
Australia,261,72,212,10.40
Austria,279,75,191,9.70
Azerbaijan,21,46,5,1.30
Bahamas,122,176,51,6.30
Bahrain,42,63,7,2.00
Bangladesh,0,0,0,0.00
Barbados,143,173,36,6.30
Belarus,142,373,42,14.40
Belgium,295,84,212,10.50
Belize,263,114,8,6.80
Benin,34,4,13,1.10
Bhutan,23,0,0,0.40
Bolivia,167,41,8,3.80
Bosnia-Herzegovina,76,173,8,4.60
Botswana,173,35,35,5.40
Brazil,245,145,16,7.20
Brunei,31,2,1,0.60
Bulgaria,231,252,94,10.30
Burkina Faso,25,7,7,4.30
Burundi,88,0,0,6.30
Cote d'Ivoire,37,1,7,4.00
Cabo Verde,144,56,16,4.00
Cambodia,57,65,1,2.20
Cameroon,147,1,4,5.80
Canada,240,122,100,8.20
Central African Republic,17,2,1,1.80
Chad,15,1,1,0.40
Chile,130,124,172,7.60
China,79,192,8,5.00
Colombia,159,76,3,4.20
Comoros,1,3,1,0.10
Congo,76,1,9,1.70
Cook Islands,0,254,74,5.90
Costa Rica,149,87,11,4.40
Croatia,230,87,254,10.20
Cuba,93,137,5,4.20
Cyprus,192,154,113,8.20
Czech Republic,361,170,134,11.80
North Korea,0,0,0,0.00
DR Congo,32,3,1,2.30
Denmark,224,81,278,10.40
Djibouti,15,44,3,1.10
Dominica,52,286,26,6.60
Dominican Republic,193,147,9,6.20
Ecuador,162,74,3,4.20
Egypt,6,4,1,0.20
El Salvador,52,69,2,2.20
Equatorial Guinea,92,0,233,5.80
Eritrea,18,0,0,0.50
Estonia,224,194,59,9.50
Ethiopia,20,3,0,0.70
Fiji,77,35,1,2.00
Finland,263,133,97,10.00
France,127,151,370,11.80
Gabon,347,98,59,8.90
Gambia,8,0,1,2.40
Georgia,52,100,149,5.40
Germany,346,117,175,11.30
Ghana,31,3,10,1.80
Greece,133,112,218,8.30
Grenada,199,438,28,11.90
Guatemala,53,69,2,2.20
Guinea,9,0,2,0.20
Guinea-Bissau,28,31,21,2.50
Guyana,93,302,1,7.10
Haiti,1,326,1,5.90
Honduras,69,98,2,3.00
Hungary,234,215,185,11.30
Iceland,233,61,78,6.60
India,9,114,0,2.20
Indonesia,5,1,0,0.10
Iran,0,0,0,0.00
Iraq,9,3,0,0.20
Ireland,313,118,165,11.40
Israel,63,69,9,2.50
Italy,85,42,237,6.50
Jamaica,82,97,9,3.40
Japan,77,202,16,7.00
Jordan,6,21,1,0.50
Kazakhstan,124,246,12,6.80
Kenya,58,22,2,1.80
Kiribati,21,34,1,1.00
Kuwait,0,0,0,0.00
Kyrgyzstan,31,97,6,2.40
Laos,62,0,123,6.20
Latvia,281,216,62,10.50
Lebanon,20,55,31,1.90
Lesotho,82,29,0,2.80
Liberia,19,152,2,3.10
Libya,0,0,0,0.00
Lithuania,343,244,56,12.90
Luxembourg,236,133,271,11.40
Madagascar,26,15,4,0.80
Malawi,8,11,1,1.50
Malaysia,13,4,0,0.30
Maldives,0,0,0,0.00
Mali,5,1,1,0.60
Malta,149,100,120,6.60
Marshall Islands,0,0,0,0.00
Mauritania,0,0,0,0.00
Mauritius,98,31,18,2.60
Mexico,238,68,5,5.50
Micronesia,62,50,18,2.30
Monaco,0,0,0,0.00
Mongolia,77,189,8,4.90
Montenegro,31,114,128,4.90
Morocco,12,6,10,0.50
Mozambique,47,18,5,1.30
Myanmar,5,1,0,0.10
Namibia,376,3,1,6.80
Nauru,49,0,8,1.00
Nepal,5,6,0,0.20
Netherlands,251,88,190,9.40
New Zealand,203,79,175,9.30
Nicaragua,78,118,1,3.50
Niger,3,2,1,0.10
Nigeria,42,5,2,9.10
Niue,188,200,7,7.00
Norway,169,71,129,6.70
Oman,22,16,1,0.70
Pakistan,0,0,0,0.00
Palau,306,63,23,6.90
Panama,285,104,18,7.20
Papua New Guinea,44,39,1,1.50
Paraguay,213,117,74,7.30
Peru,163,160,21,6.10
Philippines,71,186,1,4.60
Poland,343,215,56,10.90
Portugal,194,67,339,11.00
Qatar,1,42,7,0.90
South Korea,140,16,9,9.80
Moldova,109,226,18,6.30
Romania,297,122,167,10.40
Russian Federation,247,326,73,11.50
Rwanda,43,2,0,6.80
St. Kitts & Nevis,194,205,32,7.70
St. Lucia,171,315,71,10.10
St. Vincent & the Grenadines,120,221,11,6.30
Samoa,105,18,24,2.60
San Marino,0,0,0,0.00
Sao Tome & Principe,56,38,140,4.20
Saudi Arabia,0,5,0,0.10
Senegal,9,1,7,0.30
Serbia,283,131,127,9.60
Seychelles,157,25,51,4.10
Sierra Leone,25,3,2,6.70
Singapore,60,12,11,1.50
Slovakia,196,293,116,11.40
Slovenia,270,51,276,10.60
Solomon Islands,56,11,1,1.20
Somalia,0,0,0,0.00
South Africa,225,76,81,8.20
Spain,284,157,112,10.00
Sri Lanka,16,104,0,2.20
Sudan,8,13,0,1.70
Suriname,128,178,7,5.60
Swaziland,90,2,2,4.70
Sweden,152,60,186,7.20
Switzerland,185,100,280,10.20
Syria,5,35,16,1.00
Tajikistan,2,15,0,0.30
Thailand,99,258,1,6.40
Macedonia,106,27,86,3.90
Timor-Leste,1,1,4,0.10
Togo,36,2,19,1.30
Tonga,36,21,5,1.10
Trinidad & Tobago,197,156,7,6.40
Tunisia,51,3,20,1.30
Turkey,51,22,7,1.40
Turkmenistan,19,71,32,2.20
Tuvalu,6,41,9,1.00
Uganda,45,9,0,8.30
Ukraine,206,237,45,8.90
United Arab Emirates,16,135,5,2.80
United Kingdom,219,126,195,10.40
Tanzania,36,6,1,5.70
USA,249,158,84,8.70
Uruguay,115,35,220,6.60
Uzbekistan,25,101,8,2.40
Vanuatu,21,18,11,0.90
Venezuela,333,100,3,7.70
Vietnam,111,2,1,2.00
Yemen,6,0,0,0.10
Zambia,32,19,4,2.50
Zimbabwe,64,18,4,4.70
